MSA,Population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Akron,703479,1,4,5,6,6,8,9,10,10,13,15,19,20,26,26,28,29,32,35,37,40
Albany-Schenectady-Troy,880381,1,1,1,1,2,3,3,3,4,8,12,17,21,22,23,27,27,28,28,32,34
Albuquerque,918018,1,1,3,4,5,9,9,9,9,10,10,13,14,16,19,19,19,21,21,23,29
Allentown-Bethlehem-Easton,844052,1,1,1,1,2,3,3,4,4,5,7,8,9,10,14,18,19,25,26,28,32
Atlanta-Sandy Springs-Alpharetta,6020364,1,1,1,1,1,1,1,1,4,6,7,7,7,7,7,7,37,41,43,58,71
Augusta-Richmond County,608980,1,1,3,3,3,3,3,6,6,6,7,7,7,9,14,15,15,18,19,19,23
Austin-Round Rock-Georgetown,2227083,1,1,2,3,3,3,4,4,5,8,8,7,12,12,12,14,14,14,17,20,23
Bakersfield,900202,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Baltimore-Columbia-Towson,2800053,1,1,1,1,1,1,1,1,1,3,5,8,8,14,18,25,30,40,47,56,63
Baton Rouge,854884,4,5,6,7,7,7,11,17,19,19,23,29,31,46,50,59,68,75,83,92,101
Birmingham-Hoover,1090435,2,7,7,10,14,14,15,17,18,19,19,20,20,20,23,24,29,32,32,32,32
Boise City,749202,1,1,1,2,3,4,4,4,4,4,4,4,6,6,8,10,11,11,11,14,14
Boston-Cambridge-Newton,4873019,1,1,2,2,2,3,10,15,19,22,30,50,71,93,114,123,132,152,205,253,253
Bridgeport-Stamford-Norwalk,943332,1,3,4,4,5,6,7,12,13,15,20,21,21,38,46,65,75,86,96,101,132
Buffalo-Cheektowaga,1127983,1,2,5,6,7,7,8,11,12,19,22,27,30,40,46,55,57,57,61,71,78
Cape Coral-Fort Myers,770577,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,3,3,4,5
Charleston-North Charleston,802122,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,3,4
Charlotte-Concord-Gastonia,2636883,1,2,2,3,4,3,4,4,7,7,9,9,12,13,19,20,20,23,23,24,33
Chattanooga,565194,1,1,1,1,1,1,3,3,6,7,10,10,11,11,11,12,12,12,12,12,13
Chicago-Naperville-Elgin,9458539,1,1,3,3,4,5,10,10,17,25,33,47,63,70,98,138,158,202,235,264,296
Cincinnati,2221208,1,2,4,4,6,7,8,11,17,18,20,26,37,39,40,41,44,45,49,56,59
Cleveland-Elyria,2048449,1,1,2,2,2,2,4,5,8,11,14,18,19,20,22,24,29,36,39,39,42
Colorado Springs,745791,1,2,2,2,2,2,2,3,3,3,3,3,4,6,6,8,11,12,12,14,15
Columbia,838433,1,1,1,1,1,1,1,2,2,2,2,4,5,5,5,6,7,7,9,12,12
Columbus,2122271,2,2,2,2,2,2,3,3,4,7,8,9,10,13,14,18,18,21,21,22,22
Dallas-Fort Worth-Arlington,7573136,2,3,3,3,4,6,7,8,10,10,13,15,16,20,24,30,33,39,42,45,51
Dayton-Kettering,807611,1,1,0,0,0,1,2,4,4,5,6,8,8,11,11,12,13,13,15,17,19
Deltona-Daytona Beach-Ormond Beach,668365,1,1,1,1,2,2,3,3,3,4,4,6,6,7,9,9,9,10,11,11,12
Denver-Aurora-Lakewood,2967239,6,5,9,13,13,11,22,26,40,50,54,62,66,66,100,100,133,146,152,160,172
Des Moines-West Des Moines,699292,1,1,1,1,2,4,4,4,4,4,4,4,5,6,8,11,11,14,14,14,17
Detroit-Warren-Dearborn,4319629,1,1,1,3,8,14,20,39,53,78,96,112,160,230,298,373,426,476,543,636,736
Durham-Chapel Hill,644367,1,1,1,1,1,1,2,3,3,4,4,6,6,12,13,14,14,15,24,28,28
El Paso,844124,1,2,2,2,2,4,6,7,7,8,8,9,9,10,10,10,12,12,12,14,18
Fresno,999101,1,1,1,2,3,3,3,5,5,5,5,7,7,7,7,7,7,7,7,7,7
Grand Rapids-Kentwood,1077370,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,8,10,12,17,18
Greensboro-High Point,771851,1,1,4,6,7,7,7,7,11,12,13,13,13,14,14,14,15,16,17,17,17
Greenville-Anderson,920477,1,1,1,2,2,3,4,5,5,5,6,7,7,9,12,13,14,14,16,17,17
Harrisburg-Carlisle,577941,1,1,1,2,2,2,4,4,4,4,4,5,5,5,7,8,8,10,10,12,12
Hartford-East Hartford-Middletown,1204877,3,4,5,5,6,6,7,7,8,15,20,26,30,40,45,51,68,68,102,119,134
Honolulu,974563,1,3,3,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,7
Houston-The Woodlands-Sugar Land,7066141,1,0,1,1,1,1,1,2,3,3,4,7,9,11,12,19,23,30,33,35,47
Indianapolis-Carmel-Anderson,2074537,1,2,2,2,3,3,4,4,9,10,11,16,18,19,20,26,35,39,53,61,66
Jackson,594806,1,2,2,2,2,2,2,3,3,3,3,3,6,7,9,10,10,10,10,10,11
Jacksonville,1559514,2,2,2,2,2,3,3,6,8,8,9,9,9,11,11,17,17,17,17,17,17
Kansas City,2396985,1,1,1,1,1,1,1,2,3,3,3,3,4,4,5,5,7,7,8,10,11
